repo_name,category,file_type,file_name,sdlc_phase,line_number,line_content
robusta-dev/robusta,MLOps,dependency,pyproject.toml,P4_Build_Packaging,59,# Pin to fix CVE-2026-39892 (Critical): cryptography buffer overflow with non-contiguous buffers
robusta-dev/robusta,MLOps,dependency,pyproject.toml,P4_Build_Packaging,80,# Pin to fix cve https://github.com/robusta-dev/robusta/security/dependabot/85
robusta-dev/robusta,MLOps,dependency,pyproject.toml,P4_Build_Packaging,82,# Pin to fix CVE-2026-30922 (transitive via google-auth)
chroma-core/chroma,NLP,documentation,DEVELOP.md,P7_Documentation,84,Not yet implemented.
chroma-core/chroma,NLP,documentation,DEVELOP.md,P7_Documentation,118,Not yet implemented.
chroma-core/chroma,NLP,documentation,README.md,P7_Documentation,47,# Add docs to the collection. Can also update and delete. Row-based API coming soon!
behave/behave,Non-ML Control,documentation,CHANGES.rst,P7_Documentation,444,* issue #216: Using --wip option does not disable ANSI escape sequences (coloring).
behave/behave,Non-ML Control,documentation,CHANGES.rst,P7_Documentation,652,* issue #111: Comment following @wip tag results in scenario being ignored
behave/behave,Non-ML Control,documentation,CHANGES.rst,P7_Documentation,757,"* Added work-in-progress (""wip"") mode which is useful when developing new code"
pypa/setuptools,Non-ML Control,dependency,pyproject.toml,P4_Build_Packaging,117,# Deprecated rules must now be selected by exact rule code
pypa/setuptools,Non-ML Control,dependency,pyproject.toml,P4_Build_Packaging,137,"# pin mypy version so a new version doesn't suddenly cause the CI to fail,"
milvus-io/pymilvus,NLP,dependency,pyproject.toml,P4_Build_Packaging,71,"# Pin grpcio-tools to 1.66.2: generated code in grpc_gen/ embeds GRPC_GENERATED_VERSION,"
qdrant/qdrant-client,NLP,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,19,# ToDo: re-introduce ruff linter later
python-poetry/poetry,Non-ML Control,cicd,.cirrus.yml,P5_CICD_Deployment,15,# FIXME: Python 3.12 is not available in Ports.
python-poetry/poetry,Non-ML Control,cicd,.cirrus.yml,P5_CICD_Deployment,20,# FIXME: use pipx for install. pipx is currently broken in Ports.
python-poetry/poetry,Non-ML Control,cicd,.cirrus.yml,P5_CICD_Deployment,32,# TODO: caching
celery/kombu,Non-ML Control,documentation,Changelog.rst,P7_Documentation,1925,- Async hub: Fixed potential infinite loop while performing todo tasks
jax-ml/jax,Deep Learning,documentation,CHANGELOG.md,P7_Documentation,3109,Pruning is still a work in progress.
astral-sh/uv,Non-ML Control,cicd,Dockerfile,P5_CICD_Deployment,65,"# TODO(konsti): Optimize binary size, with a version that also works when cross compiling"
Trusted-AI/AIF360,MLOps,documentation,CONTRIBUTING.rst,P7_Documentation,191,Draft/WIP
Farama-Foundation/PettingZoo,AutoML/RL,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,64,"# TODO: Remove ignoring rules D101, D102, D103, D105 (add docstrings to all public methods)"
conda/conda,Non-ML Control,documentation,CHANGELOG.md,P7_Documentation,7090,* conda build adds .pth-file when it encounters an egg (TODO)
astooke/rlpyt,AutoML/RL,documentation,CONTRIBUTING.md,P7_Documentation,10,* Well-established algorithms which are not yet implemented (we have some compute capacity to use for running verification learning curves).
astooke/rlpyt,AutoML/RL,documentation,README.md,P7_Documentation,38,"**Deep Q-Learning** DQN + variants: Double, Dueling, Categorical (up to Rainbow minus Noisy Nets), Recurrent (R2D2-style).  *Coming soon*: Implicit Quantile Networks?"
astooke/rlpyt,AutoML/RL,documentation,README.md,P7_Documentation,40,"**Q-Function Policy Gradient** DDPG, TD3, SAC.  *Coming soon*: Distributional DDPG?"
EleutherAI/gpt-neo,Deep Learning,documentation,README.md,P7_Documentation,266,TODO
EleutherAI/gpt-neo,Deep Learning,documentation,README.md,P7_Documentation,373,## TODO:
ikostrikov/pytorch-a2c-ppo-acktr-gail,AutoML/RL,documentation,README.md,P7_Documentation,63,"Contributions are very welcome. If you know how to make this code better, please open an issue. If you want to submit a pull request, please open an issue first. Also see a todo list below."
ikostrikov/pytorch-a2c-ppo-acktr-gail,AutoML/RL,documentation,README.md,P7_Documentation,71,### TODO
vllm-project/vllm,Deep Learning,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,160,- id: mypy-3.10 # TODO: Use https://github.com/pre-commit/mirrors-mypy when mypy setup is less awkward
vllm-project/vllm,Deep Learning,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,165,- id: mypy-3.11 # TODO: Use https://github.com/pre-commit/mirrors-mypy when mypy setup is less awkward
vllm-project/vllm,Deep Learning,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,170,- id: mypy-3.12 # TODO: Use https://github.com/pre-commit/mirrors-mypy when mypy setup is less awkward
vllm-project/vllm,Deep Learning,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,175,- id: mypy-3.13 # TODO: Use https://github.com/pre-commit/mirrors-mypy when mypy setup is less awkward
huggingface/evaluate,NLP,documentation,CONTRIBUTING.md,P7_Documentation,232,3. To indicate a work in progress please prefix the title with `[WIP]`. These
scipy/scipy,MLOps,documentation,CONTRIBUTING.rst,P7_Documentation,16,It's also OK to submit work in progress if you're unsure of what
scikit-optimize/scikit-optimize,AutoML/RL,documentation,CONTRIBUTING.md,P7_Documentation,18,"* create a PR as early as possible, marking it with `[WIP]` while you work on"
scikit-learn/scikit-learn,MLOps,cicd,.pre-commit-config.yaml,P5_CICD_Deployment,26,# TODO: add the double-quote-cython-strings hook when it's usability has improved:
lm-sys/FastChat,Deep Learning,cicd,format.sh,P5_CICD_Deployment,61,# TODO(suquark): disable 'pylint_quotes' for now due to too many inconsistent quotes
statsmodels/statsmodels,MLOps,dependency,pyproject.toml,P4_Build_Packaging,116,# Pin on Win32
lucidrains/bidirectional-cross-attention,Deep Learning,documentation,README.md,P7_Documentation,43,## Todo
psf/black,Non-ML Control,cicd,action.yml,P5_CICD_Deployment,77,# TODO: Remove once https://github.com/actions/runner/issues/665 is fixed.
dmlc/xgboost,AutoML/RL,documentation,NEWS.md,P7_Documentation,1609,* GPU support is work in progress (#5714).
dmlc/xgboost,AutoML/RL,documentation,NEWS.md,P7_Documentation,1885,"* See roadmap at #4753. Note that this is work in progress. In particular, the feature is not yet available from XGBoost4J-Spark."
dmlc/xgboost,AutoML/RL,documentation,NEWS.md,P7_Documentation,2134,* Coming soon: GPU training (`gpu_hist`) with external memory
astral-sh/ruff,Non-ML Control,cicd,Dockerfile,P5_CICD_Deployment,32,"# TODO: Optimize binary size, with a version that also works when cross compiling"
