repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
salesforce/CodeT5,NLP,3103.0,490.0,87.0,11174.0,Python,1743.0,2021-08-16,2026-05-24,Home of CodeT5: Open Code LLMs for Code Understanding and Generation,False,True,False,BSD-3-Clause,ok
InternLM/InternLM,Deep Learning,7210.0,506.0,8.0,7453.0,Python,1054.0,2023-07-06,2026-05-25,"Official release of InternLM series (InternLM, InternLM2, InternLM2.5, InternLM3).",False,True,False,Apache-2.0,ok
openvinotoolkit/openvino,Computer Vision,10277.0,3226.0,758.0,935741.0,C++,2779.0,2018-10-15,2026-05-25,OpenVINO™ is an open source toolkit for optimizing and deploying AI inference,True,True,False,Apache-2.0,ok
facebookresearch/metaseq,Deep Learning,6549.0,718.0,154.0,26972.0,Python,1484.0,2022-05-02,2026-05-21,Repo for external large-scale work,True,True,False,MIT,ok
pytorch/ao,Computer Vision,2833.0,508.0,736.0,136366.0,Python,934.0,2023-11-03,2026-05-25,PyTorch native quantization and sparsity for training and inference,False,True,False,NOASSERTION,ok
baichuan-inc/Baichuan2,Deep Learning,4102.0,295.0,272.0,4893.0,Python,998.0,2023-08-31,2026-05-25,A series of large language models developed by Baichuan Intelligent Technology,False,True,False,Apache-2.0,ok
Stability-AI/StableLM,NLP,15698.0,1013.0,27.0,236.0,Jupyter Notebook,1132.0,2023-04-19,2026-05-25,StableLM: Stability AI Language Models,True,True,False,Apache-2.0,ok
EleutherAI/lm-evaluation-harness,Deep Learning,12684.0,3289.0,822.0,35431.0,Python,2096.0,2020-08-28,2026-05-25,A framework for few-shot evaluation of language models.,True,True,False,MIT,ok
EleutherAI/pythia,NLP,2808.0,214.0,21.0,510882.0,Jupyter Notebook,1612.0,2021-12-25,2026-05-25,The hub for EleutherAI's work on interpretability and learning dynamics,True,True,False,Apache-2.0,ok
google-deepmind/tapnet,Computer Vision,1896.0,181.0,29.0,5190.0,Jupyter Notebook,1299.0,2022-11-03,2026-05-25,Tracking Any Point (TAP),False,True,False,Apache-2.0,ok
01-ai/Yi,Deep Learning,7821.0,487.0,21.0,70019.0,Jupyter Notebook,934.0,2023-11-03,2026-05-25,A series of large language models trained from scratch by developers @01-ai,True,True,False,Apache-2.0,ok
facebookresearch/co-tracker,Computer Vision,4959.0,372.0,101.0,55284.0,Jupyter Notebook,1047.0,2023-07-13,2026-05-25,CoTracker is a model for tracking any point (pixel) on a video.,False,True,False,NOASSERTION,ok
deepseek-ai/DeepSeek-LLM,Deep Learning,6947.0,1084.0,52.0,4946.0,Makefile,908.0,2023-11-29,2026-05-25,DeepSeek LLM: Let there be answers,False,True,False,MIT,ok
isl-org/MiDaS,Computer Vision,5395.0,721.0,165.0,3471.0,Python,2527.0,2019-06-24,2026-05-23,"Code for robust monocular depth estimation described in ""Ranftl et. al., Towards Robust Monocular Depth Estimation: Mixing Datasets for Zero-shot Cross-dataset Transfer, TPAMI 2022""",True,True,False,MIT,ok
mosaicml/llm-foundry,NLP,4408.0,589.0,64.0,80827.0,Python,1123.0,2023-04-28,2026-05-25,LLM training code for Databricks foundation models,True,True,False,Apache-2.0,ok
openlm-research/open_llama,NLP,7525.0,407.0,40.0,2537.0,,1123.0,2023-04-28,2026-05-25,"OpenLLaMA, a permissively licensed open source reproduction of Meta AI’s LLaMA 7B trained on the RedPajama dataset",False,True,False,Apache-2.0,ok
google-deepmind/gemma,Deep Learning,5266.0,935.0,260.0,1285.0,Python,825.0,2024-02-20,2026-05-25,"Gemma open-weight LLM library, from Google DeepMind",False,True,False,Apache-2.0,ok
google/gemma_pytorch,Deep Learning,5672.0,597.0,29.0,5646.0,Python,825.0,2024-02-20,2026-05-25,The official PyTorch implementation of Google's Gemma models,False,True,False,Apache-2.0,ok
google-research/language,NLP,1775.0,361.0,121.0,6496.0,Python,2778.0,2018-10-16,2026-05-22,Shared repository for open-sourced projects from the Google AI Language team.,True,True,False,Apache-2.0,ok
OptimalScale/LMFlow,NLP,8486.0,829.0,87.0,58013.0,Python,1155.0,2023-03-27,2026-05-25,An Extensible Toolkit for Finetuning and Inference of Large Foundation Models. Large Models for All.,False,True,False,Apache-2.0,ok
lllyasviel/ControlNet,Computer Vision,33896.0,3015.0,462.0,125281.0,Python,1209.0,2023-02-01,2026-05-25,Let us control diffusion models!,True,True,False,Apache-2.0,ok
allenai/OLMo,Deep Learning,6509.0,759.0,87.0,521902.0,Python,1190.0,2023-02-20,2026-05-25,"Modeling, training, eval, and inference code for OLMo",True,True,False,Apache-2.0,ok
google/sentencepiece,NLP,11854.0,1348.0,15.0,42700.0,C++,3366.0,2017-03-07,2026-05-25,Unsupervised text tokenizer for Neural Network-based text generation.,False,True,False,Apache-2.0,ok
XPixelGroup/HAT,Computer Vision,1542.0,182.0,107.0,21201.0,Python,1489.0,2022-04-27,2026-05-25,CVPR2023 - Activating More Pixels in Image Super-Resolution Transformer TPAMI - HAT: Hybrid Attention Transformer for Image Restoration,True,True,False,Apache-2.0,ok
OpenGVLab/InternVL,NLP,10040.0,780.0,316.0,40557.0,Python,915.0,2023-11-22,2026-05-25,[CVPR 2024 Oral] InternVL Family: A Pioneering Open-Source Alternative to GPT-4o.  接近GPT-4o表现的开源多模态对话模型,False,True,False,MIT,ok
microsoft/nlp-recipes,NLP,6437.0,915.0,66.0,48731.0,Python,2607.0,2019-04-05,2026-05-24,Natural Language Processing Best Practices & Examples,True,True,False,MIT,ok
microsoft/torchscale,Deep Learning,3131.0,225.0,38.0,370.0,Python,1285.0,2022-11-17,2026-05-22,Foundation Architecture for (M)LLMs,True,True,False,MIT,ok
lucidrains/denoising-diffusion-pytorch,Deep Learning,10566.0,1276.0,151.0,2636.0,Python,2098.0,2020-08-26,2026-05-25,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,True,True,False,MIT,ok
jantic/DeOldify,Computer Vision,18474.0,2651.0,1.0,71392.0,Python,2763.0,2018-10-31,2026-05-25,A Deep Learning based project for colorizing and restoring old images (and video!),True,True,False,MIT,ok
THUDM/GLM,NLP,3501.0,352.0,108.0,3054.0,Python,1894.0,2021-03-18,2026-05-25,GLM (General Language Model),True,True,False,MIT,ok
google-research/electra,NLP,2369.0,349.0,61.0,113.0,Python,2267.0,2020-03-10,2026-05-22,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,True,True,False,Apache-2.0,ok
cloneofsimo/lora,Computer Vision,7537.0,494.0,89.0,185871.0,Jupyter Notebook,1264.0,2022-12-08,2026-05-24,Using Low-rank adaptation to quickly fine-tune diffusion models.,True,True,False,Apache-2.0,ok
tatsu-lab/alpaca_eval,Deep Learning,1991.0,309.0,29.0,315007.0,Jupyter Notebook,1096.0,2023-05-25,2026-05-23,"An automatic evaluator for instruction-following language models. Human-validated, high-quality, cheap, and fast.",True,True,False,Apache-2.0,ok
PaddlePaddle/ERNIE,NLP,7717.0,1446.0,73.0,148863.0,Python,2640.0,2019-03-03,2026-05-25,The official repository for ERNIE 4.5 and ERNIEKit – its industrial-grade development toolkit based on PaddlePaddle.,True,True,False,Apache-2.0,ok
ymcui/Chinese-LLaMA-Alpaca,NLP,18945.0,1853.0,5.0,24070.0,Python,1167.0,2023-03-15,2026-05-25,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),True,True,False,Apache-2.0,ok
kohya-ss/sd-scripts,Computer Vision,7068.0,1192.0,890.0,18653.0,Python,1254.0,2022-12-18,2026-05-25,,True,True,False,Apache-2.0,ok
google-research/pegasus,NLP,1655.0,318.0,104.0,684.0,Python,2252.0,2020-03-25,2026-05-22,,True,True,False,Apache-2.0,ok
bmaltais/kohya_ss,Computer Vision,12299.0,1587.0,583.0,24448.0,Python,1303.0,2022-10-30,2026-05-25,,True,True,False,Apache-2.0,ok
google-research/albert,NLP,3284.0,576.0,102.0,296.0,Python,2372.0,2019-11-26,2026-05-24,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,True,True,False,Apache-2.0,ok
apple/ml-stable-diffusion,Deep Learning,17861.0,1053.0,187.0,24081.0,Python,1286.0,2022-11-16,2026-05-25,Stable Diffusion with Core ML on Apple Silicon,True,True,False,MIT,ok
FreedomIntelligence/HuatuoGPT,NLP,1309.0,164.0,3.0,8194.0,Python,1138.0,2023-04-13,2026-05-25,"HuatuoGPT, Towards Taming Language Models To Be a Doctor. (An Open Medical GPT)",False,True,False,Apache-2.0,ok
TencentARC/GFPGAN,Deep Learning,37463.0,6279.0,402.0,5467.0,Python,1893.0,2021-03-19,2026-05-25,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,True,True,False,NOASSERTION,ok
dmlc/gluon-nlp,NLP,2547.0,520.0,271.0,11414.0,Python,2973.0,2018-04-04,2026-05-13,NLP made easy,True,True,False,Apache-2.0,ok
facebookresearch/bart_ls,NLP,96.0,11.0,2.0,11053.0,Python,1311.0,2022-10-22,2025-07-27,Long-context pretrained encoder-decoder models,False,True,False,NOASSERTION,ok
facebookresearch/Mask2Former,Computer Vision,3356.0,514.0,164.0,426.0,Python,1643.0,2021-11-24,2026-05-23,"Code release for ""Masked-attention Mask Transformer for Universal Image Segmentation""",False,True,False,MIT,ok
clips/pattern,NLP,8854.0,1558.0,178.0,52274.0,Python,5501.0,2011-05-03,2026-05-24,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis and visualization.",True,True,False,BSD-3-Clause,ok
allenai/longformer,NLP,2196.0,286.0,139.0,849.0,Python,2246.0,2020-03-31,2026-05-23,Longformer: The Long-Document Transformer,True,True,False,Apache-2.0,ok
JaidedAI/EasyOCR,Computer Vision,29511.0,3577.0,528.0,161635.0,Python,2263.0,2020-03-14,2026-05-25,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.",True,True,False,Apache-2.0,ok
allenai/macaw,NLP,458.0,54.0,7.0,357.0,Python,1839.0,2021-05-12,2026-02-17,Multi-angle c(q)uestion answering,True,True,False,Apache-2.0,ok
SillyTavern/SillyTavern,NLP,28310.0,5395.0,428.0,214649.0,JavaScript,1201.0,2023-02-09,2026-05-25,LLM Frontend for Power Users.,False,True,False,AGPL-3.0,ok
openai/jukebox,Deep Learning,8038.0,1451.0,207.0,2815.0,Python,2217.0,2020-04-29,2026-05-24,"Code for the paper ""Jukebox: A Generative Model for Music""",True,True,False,NOASSERTION,ok
mindee/doctr,Computer Vision,6097.0,644.0,29.0,106282.0,Python,1963.0,2021-01-08,2026-05-25,"docTR (Document Text Recognition) - a seamless, high-performing & accessible library for OCR-related tasks powered by Deep Learning.",True,True,False,Apache-2.0,ok
microsoft/MASS,NLP,1120.0,204.0,69.0,3044.0,Python,2555.0,2019-05-27,2026-05-11,MASS: Masked Sequence to Sequence Pre-training for Language Generation,True,True,False,NOASSERTION,ok
ollama/ollama,NLP,172301.0,16288.0,3287.0,84593.0,Go,1064.0,2023-06-26,2026-05-25,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",False,True,False,MIT,ok
google-research/scenic,Computer Vision,3802.0,480.0,299.0,71074.0,Python,1778.0,2021-07-12,2026-05-24,Scenic: A Jax Library for Computer Vision Research and Beyond,False,True,False,Apache-2.0,ok
OpenBMB/ToolBench,NLP,5652.0,485.0,161.0,60345.0,Python,1093.0,2023-05-28,2026-05-25,"[ICLR'24 spotlight] An open platform for training, serving, and evaluating large language model for tool learning.",True,True,False,Apache-2.0,ok
microsoft/ProphetNet,NLP,745.0,117.0,55.0,76191.0,Python,2289.0,2020-02-17,2026-05-02,"A research project for natural language generation, containing the official implementations by MSRA NLC team.",True,True,False,MIT,ok
google-research/multinerf,Computer Vision,3807.0,357.0,105.0,121.0,Python,1403.0,2022-07-22,2026-05-24,"A Code Release for Mip-NeRF 360, Ref-NeRF, and RawNeRF",False,True,False,Apache-2.0,ok
thunlp/OpenPrompt,NLP,4872.0,481.0,100.0,15059.0,Python,1698.0,2021-09-30,2026-05-22,An Open-Source Framework for Prompt-Learning.,True,True,False,Apache-2.0,ok
thunlp/OpenDelta,NLP,1044.0,84.0,25.0,44048.0,Python,1561.0,2022-02-14,2026-05-13,A plug-and-play library for parameter-efficient-tuning (Delta Tuning),True,True,False,Apache-2.0,ok
microsoft/JARVIS,NLP,24765.0,2126.0,2389.0,41674.0,Python,1152.0,2023-03-30,2026-05-25,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",True,True,False,MIT,ok
bmild/nerf,Computer Vision,10882.0,1438.0,121.0,2941.0,Jupyter Notebook,2258.0,2020-03-19,2026-05-25,Code release for NeRF (Neural Radiance Fields),True,True,False,MIT,ok
NVlabs/instant-ngp,Computer Vision,17400.0,2062.0,503.0,191628.0,Cuda,1601.0,2022-01-05,2026-05-25,Instant neural graphics primitives: lightning fast NeRF and more,True,True,False,NOASSERTION,ok
adapter-hub/adapters,NLP,2812.0,373.0,47.0,101807.0,Python,2225.0,2020-04-21,2026-05-22,A Unified Library for Parameter-Efficient and Modular Transfer Learning ,False,True,False,Apache-2.0,ok
nerfstudio-project/nerfstudio,Computer Vision,11612.0,1635.0,939.0,121997.0,Python,1455.0,2022-05-31,2026-05-25,A collaboration friendly studio for NeRFs,False,True,False,Apache-2.0,ok
langchain-ai/langchainjs,NLP,17722.0,3181.0,333.0,697869.0,TypeScript,1204.0,2023-02-06,2026-05-25,The agent engineering platform,False,True,False,MIT,ok
google-research/xtreme,NLP,652.0,110.0,29.0,452.0,Python,2239.0,2020-04-07,2026-04-19,XTREME is a benchmark for the evaluation of the cross-lingual generalization ability of pre-trained multilingual models that covers 40 typologically diverse languages and includes nine tasks.,True,True,False,Apache-2.0,ok
facebookresearch/cc_net,NLP,1044.0,154.0,27.0,254.0,Python,2400.0,2019-10-29,2026-05-20,Tools to download and cleanup Common Crawl data,False,True,False,MIT,ok
graphdeco-inria/gaussian-splatting,Computer Vision,22100.0,3221.0,710.0,80569.0,Python,1056.0,2023-07-04,2026-05-25,"Original reference implementation of ""3D Gaussian Splatting for Real-Time Radiance Field Rendering""",False,True,False,NOASSERTION,ok
deepset-ai/haystack-experimental,NLP,61.0,22.0,2.0,8024.0,Python,746.0,2024-05-09,2026-05-21,🧪 Experimental features for Haystack,False,True,False,Apache-2.0,ok
EleutherAI/the-pile,NLP,1659.0,149.0,28.0,265.0,Python,2098.0,2020-08-26,2026-05-24,,False,True,False,MIT,ok
facebookresearch/sam2,Deep Learning,19232.0,2456.0,474.0,138167.0,Jupyter Notebook,665.0,2024-07-29,2026-05-25,"The repository provides code for running inference with the Meta Segment Anything Model 2 (SAM 2), links for downloading the trained model checkpoints, and example notebooks that show how to use the m",False,True,False,Apache-2.0,ok
facebookresearch/ClassyVision,Computer Vision,1608.0,272.0,53.0,4759.0,Python,2446.0,2019-09-13,2026-05-19,An end-to-end PyTorch framework for image and video classification,False,True,False,MIT,ok
bigscience-workshop/xmtf,NLP,535.0,43.0,12.0,30005.0,Jupyter Notebook,1315.0,2022-10-18,2026-05-23,Crosslingual Generalization through Multitask Finetuning,True,True,False,Apache-2.0,ok
openai/evals,Deep Learning,18532.0,2967.0,205.0,6684.0,Python,1218.0,2023-01-23,2026-05-25,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.",True,True,False,NOASSERTION,ok
open-mmlab/mmrotate,Computer Vision,2138.0,637.0,300.0,21252.0,Python,1558.0,2022-02-17,2026-05-25,OpenMMLab Rotated Object Detection Toolbox and Benchmark,True,True,False,Apache-2.0,ok
microsoft/graphrag,NLP,33213.0,3514.0,123.0,206596.0,Python,789.0,2024-03-27,2026-05-25,A modular graph-based Retrieval-Augmented Generation (RAG) system,True,True,False,MIT,ok
allenai/unifiedqa,NLP,445.0,44.0,4.0,29565.0,Python,2223.0,2020-04-23,2026-02-16,UnifiedQA: Crossing Format Boundaries With a Single QA System,True,True,False,Apache-2.0,ok
PromtEngineer/localGPT,NLP,22213.0,2490.0,22.0,3974.0,Python,1097.0,2023-05-24,2026-05-25,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,True,True,False,MIT,ok
facebookresearch/pytorchvideo,Computer Vision,3565.0,432.0,110.0,6354.0,Python,1903.0,2021-03-09,2026-05-21,A deep learning library for video understanding research.,False,True,False,Apache-2.0,ok
open-mmlab/mmocr,Computer Vision,4734.0,780.0,193.0,16580.0,Python,1874.0,2021-04-07,2026-05-24,"OpenMMLab Text Detection, Recognition and Understanding Toolbox",True,True,False,Apache-2.0,ok
Stability-AI/generative-models,Deep Learning,27169.0,3089.0,340.0,88668.0,Python,1068.0,2023-06-22,2026-05-25,Generative Models by Stability AI,True,True,False,MIT,ok
roboflow/roboflow-python,Computer Vision,572.0,125.0,65.0,12894.0,Python,2215.0,2020-05-01,2026-05-25,"The official Roboflow Python package. Manage your datasets, models, and deployments. Roboflow has everything you need to build a computer vision application.",True,True,False,Apache-2.0,ok
open-mmlab/mmagic,Computer Vision,7426.0,1101.0,68.0,32792.0,Jupyter Notebook,2467.0,2019-08-23,2026-05-25,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generatio",True,True,False,Apache-2.0,ok
google-deepmind/dm-haiku,Deep Learning,3234.0,289.0,104.0,2766.0,Python,2288.0,2020-02-18,2026-05-25,JAX-based neural network library,False,False,False,Apache-2.0,ok
open-mmlab/mmaction2,Computer Vision,5032.0,1359.0,317.0,71324.0,Python,2144.0,2020-07-11,2026-05-25,OpenMMLab's Next Generation Video Understanding Toolbox and Benchmark,True,True,False,Apache-2.0,ok
cleanlab/cleanlab,Computer Vision,11480.0,896.0,105.0,18212.0,Python,2936.0,2018-05-11,2026-05-25,"Cleanlab's open-source library is the standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",True,True,False,Apache-2.0,ok
xinntao/Real-ESRGAN,Deep Learning,35544.0,4346.0,639.0,5514.0,Python,1771.0,2021-07-19,2026-05-25,Real-ESRGAN aims at developing Practical Algorithms for General Image/Video Restoration.,True,True,False,BSD-3-Clause,ok
pallets/flask,Non-ML Control,71581.0,16852.0,3.0,12033.0,Python,5893.0,2010-04-06,2026-05-25,The Python micro framework for building web applications.,False,True,False,BSD-3-Clause,ok
pyro-ppl/pyro,MLOps,9003.0,1009.0,279.0,95892.0,Python,3265.0,2017-06-16,2026-05-24,Deep universal probabilistic programming with Python and PyTorch,True,True,False,Apache-2.0,ok
automl/HpBandSter,AutoML/RL,630.0,109.0,66.0,7517.0,Python,3081.0,2017-12-17,2026-03-30,a distributed Hyperband implementation on Steroids,True,True,False,BSD-3-Clause,ok
catboost/catboost,AutoML/RL,8960.0,1289.0,699.0,1700293.0,C++,3233.0,2017-07-18,2026-05-25,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computa",False,True,False,Apache-2.0,ok
lucidrains/imagen-pytorch,Deep Learning,8406.0,797.0,104.0,1123.0,Python,1463.0,2022-05-23,2026-05-25,"Implementation of Imagen, Google's Text-to-Image Neural Network, in Pytorch",True,True,False,MIT,ok
django/django,Non-ML Control,87570.0,33955.0,446.0,279782.0,Python,5140.0,2012-04-28,2026-05-25,The Web framework for perfectionists with deadlines.,False,False,False,BSD-3-Clause,ok
facebookresearch/vissl,Computer Vision,3295.0,328.0,81.0,20075.0,Jupyter Notebook,2237.0,2020-04-09,2026-05-19,"VISSL is FAIR's library of extensible, modular and scalable components for SOTA Self-Supervised Learning with images.",False,True,False,MIT,ok
albumentations-team/autoalbument,Computer Vision,206.0,22.0,29.0,246.0,Python,2065.0,2020-09-28,2026-05-23,AutoML for image augmentation. AutoAlbument uses the Faster AutoAugment algorithm to find optimal augmentation policies. Documentation - https://albumentations.ai/docs/autoalbument/,True,True,False,MIT,ok
tensorflow/probability,MLOps,4418.0,1122.0,724.0,160467.0,Jupyter Notebook,3136.0,2017-10-23,2026-05-25,Probabilistic reasoning and statistical analysis in TensorFlow,True,True,False,Apache-2.0,ok
EpistasisLab/tpot,AutoML/RL,10049.0,1566.0,312.0,91951.0,Jupyter Notebook,3856.0,2015-11-03,2026-05-25,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,True,True,False,LGPL-3.0,ok
python/mypy,Non-ML Control,20441.0,3200.0,3143.0,83078.0,Python,4917.0,2012-12-07,2026-05-24,Optional static typing for Python,True,True,False,NOASSERTION,ok
davidhalter/jedi,Non-ML Control,6145.0,531.0,72.0,13454.0,Python,5209.0,2012-02-19,2026-05-25,"Awesome autocompletion, static analysis and refactoring library for python",False,True,False,NOASSERTION,ok
google/neural-tangents,Deep Learning,2383.0,241.0,69.0,10932.0,Jupyter Notebook,2604.0,2019-04-08,2026-05-08,Fast and Easy Infinite Neural Networks in Python,True,True,False,Apache-2.0,ok
psf/requests,Non-ML Control,54020.0,9945.0,229.0,13545.0,Python,5580.0,2011-02-13,2026-05-25,"A simple, yet elegant, HTTP library.",True,True,False,Apache-2.0,ok
EpistasisLab/tpot2,AutoML/RL,250.0,33.0,54.0,11044.0,Jupyter Notebook,1158.0,2023-03-24,2026-05-10,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming. ,False,True,False,LGPL-3.0,ok
openml/openml-python,AutoML/RL,349.0,268.0,267.0,226185.0,Python,4449.0,2014-03-20,2026-05-22,OpenML's Python API for a World of Data and More 💫,True,True,False,NOASSERTION,ok
catalyst-team/catalyst,MLOps,3376.0,400.0,4.0,55120.0,Python,2835.0,2018-08-20,2026-05-24,Accelerated deep learning R&D,True,True,False,Apache-2.0,ok
sqlalchemy/sqlalchemy,Non-ML Control,11883.0,1687.0,213.0,103103.0,Python,2736.0,2018-11-27,2026-05-25,The Database Toolkit for Python,True,True,False,MIT,ok
sphinx-doc/sphinx,Non-ML Control,7854.0,2441.0,1481.0,109199.0,Python,4161.0,2015-01-02,2026-05-24,The Sphinx documentation generator,False,True,False,NOASSERTION,ok
facebookresearch/mae,Deep Learning,8327.0,1349.0,133.0,806.0,Python,1631.0,2021-12-06,2026-05-25,PyTorch implementation of MAE https//arxiv.org/abs/2111.06377,False,True,False,NOASSERTION,ok
open-mmlab/mmtracking,Computer Vision,3877.0,622.0,277.0,2984.0,Python,2095.0,2020-08-29,2026-05-24,"OpenMMLab Video Perception Toolbox. It supports Video Object Detection (VID), Multiple Object Tracking (MOT), Single Object Tracking (SOT), Video Instance Segmentation (VIS) with a unified framework.",True,True,False,Apache-2.0,ok
shankarpandala/lazypredict,AutoML/RL,3321.0,370.0,0.0,26364.0,Python,2382.0,2019-11-16,2026-05-25,Lazy Predict help build a lot of basic models without much code and helps understand which models works better without any parameter tuning,True,True,False,MIT,ok
Arize-ai/phoenix,MLOps,9832.0,891.0,521.0,477042.0,Python,1293.0,2022-11-09,2026-05-25,AI Observability & Evaluation,True,True,False,NOASSERTION,ok
automl/Auto-PyTorch,AutoML/RL,2534.0,304.0,75.0,20347.0,Python,2733.0,2018-11-30,2026-05-21,Automatic architecture search and hyperparameter optimization for PyTorch,True,True,False,Apache-2.0,ok
executablebooks/MyST-Parser,Non-ML Control,880.0,229.0,216.0,2160.0,Python,2293.0,2020-02-13,2026-05-24,"An extended commonmark compliant parser, with bridges to docutils/sphinx",False,True,False,MIT,ok
celery/celery,Non-ML Control,28527.0,5050.0,781.0,36798.0,Python,6240.0,2009-04-24,2026-05-25,Distributed Task Queue (development branch),True,True,False,NOASSERTION,ok
tryolabs/norfair,Computer Vision,2648.0,277.0,31.0,521656.0,Python,2154.0,2020-07-01,2026-05-25,Lightweight Python library for adding real-time multi-object tracking to any detector.,False,True,False,BSD-3-Clause,ok
facebookresearch/dino,Deep Learning,7573.0,1041.0,113.0,25006.0,Python,1860.0,2021-04-21,2026-05-25,PyTorch code for Vision Transformers training with the Self-Supervised learning method DINO,False,True,False,Apache-2.0,ok
h2oai/h2o-3,AutoML/RL,7482.0,2032.0,2857.0,632758.0,Jupyter Notebook,4466.0,2014-03-03,2026-05-25,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM) & XGBoost, Random Forest, Generalized Linear Modeling (GLM with Elastic Net), K-Me",False,True,False,Apache-2.0,ok
google/init2winit,AutoML/RL,85.0,10.0,86.0,3286.0,Python,1837.0,2021-05-14,2026-05-21,,False,True,False,Apache-2.0,ok
readthedocs/readthedocs.org,Non-ML Control,8356.0,3705.0,389.0,135879.0,Python,5761.0,2010-08-16,2026-05-25,The source code that powers readthedocs.org,False,True,False,MIT,ok
langfuse/langfuse,MLOps,27901.0,2861.0,643.0,82786.0,TypeScript,1103.0,2023-05-18,2026-05-25,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",False,True,False,NOASSERTION,ok
scrapy/scrapy,Non-ML Control,61822.0,11572.0,624.0,30447.0,Python,5936.0,2010-02-22,2026-05-25,"Scrapy, a fast high-level web crawling & scraping framework for Python.",True,True,False,BSD-3-Clause,ok
microsoft/Swin-Transformer,Deep Learning,15929.0,2220.0,204.0,1099.0,Python,1887.0,2021-03-25,2026-05-25,"This is an official implementation for ""Swin Transformer: Hierarchical Vision Transformer using Shifted Windows"".",True,True,False,MIT,ok
traceloop/openllmetry,MLOps,7145.0,976.0,520.0,67954.0,Python,996.0,2023-09-02,2026-05-25,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry",False,True,False,Apache-2.0,ok
google-deepmind/rlax,AutoML/RL,1426.0,98.0,21.0,439.0,Python,2288.0,2020-02-18,2026-05-14,,True,True,False,Apache-2.0,ok
openai/procgen,AutoML/RL,1162.0,220.0,19.0,32052.0,C++,2376.0,2019-11-22,2026-05-24,Procgen Benchmark: Procedurally-Generated Game-Like Gym-Environments,True,True,False,MIT,ok
jupyterlab/jupyterlab,Non-ML Control,15162.0,4003.0,2596.0,307041.0,TypeScript,3643.0,2016-06-03,2026-05-25,JupyterLab computational environment.,True,True,False,BSD-3-Clause,ok
facebookresearch/ConvNeXt,Deep Learning,6375.0,740.0,57.0,54.0,Python,1600.0,2022-01-06,2026-05-25,Code release for ConvNeXt model,False,True,False,MIT,ok
google-deepmind/reverb,AutoML/RL,779.0,106.0,34.0,2917.0,C++,2215.0,2020-05-01,2026-05-24,Reverb is an efficient and easy-to-use data storage and transport system designed for machine learning research,False,True,False,Apache-2.0,ok
MVIG-SJTU/AlphaPose,Computer Vision,8562.0,2030.0,305.0,121674.0,Python,3050.0,2018-01-17,2026-05-24,Real-Time and Accurate Full-Body Multi-Person Pose Estimation&Tracking System,True,True,False,NOASSERTION,ok
open-telemetry/opentelemetry-python,MLOps,2458.0,887.0,412.0,49917.0,Python,2575.0,2019-05-07,2026-05-24,OpenTelemetry Python API and SDK ,True,True,False,Apache-2.0,ok
jupyter/notebook,Non-ML Control,13163.0,5668.0,1909.0,47608.0,Jupyter Notebook,4064.0,2015-04-09,2026-05-25,Jupyter Interactive Notebook,False,True,False,BSD-3-Clause,ok
pydantic/pydantic,Non-ML Control,27849.0,2639.0,568.0,405301.0,Python,3309.0,2017-05-03,2026-05-25,Data validation using Python type hints,False,True,False,MIT,ok
google-research/simclr,Deep Learning,4496.0,666.0,71.0,3957.0,Jupyter Notebook,2267.0,2020-03-10,2026-05-25,SimCLRv2 - Big Self-Supervised Models are Strong Semi-Supervised Learners,True,True,False,Apache-2.0,ok
