repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
ikostrikov/pytorch-a2c-ppo-acktr-gail,AutoML/RL,3902.0,842.0,93.0,6194.0,Python,3198.0,2017-08-22,2026-05-22,"PyTorch implementation of Advantage Actor Critic (A2C), Proximal Policy Optimization (PPO), Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation (ACKTR) ",True,True,False,MIT,ok
lucidrains/PaLM-pytorch,Deep Learning,827.0,83.0,5.0,42133.0,Python,1512.0,2022-04-04,2026-05-24,Implementation of the specific Transformer architecture from PaLM - Scaling Language Modeling with Pathways,True,True,False,MIT,ok
tox-dev/tox,Non-ML Control,3917.0,555.0,3.0,15861.0,Python,3537.0,2016-09-17,2026-05-24,Command line driven CI frontend and development task automation tool.,False,True,False,MIT,ok
PyCQA/flake8,Non-ML Control,3794.0,347.0,23.0,3782.0,Python,4272.0,2014-09-13,2026-05-23,"flake8 is a python tool that glues together pycodestyle, pyflakes, mccabe, and third-party plugins to check the style and quality of some python code.",False,True,False,NOASSERTION,ok
vllm-project/vllm,Deep Learning,80993.0,17215.0,5025.0,211263.0,Python,1201.0,2023-02-09,2026-05-25,A high-throughput and memory-efficient inference and serving engine for LLMs,False,True,False,Apache-2.0,ok
huggingface/evaluate,NLP,2447.0,319.0,278.0,2175.0,Python,1517.0,2022-03-30,2026-05-25,🤗 Evaluate: A library for easily evaluating machine learning models and datasets.,True,True,False,Apache-2.0,ok
scipy/scipy,MLOps,14718.0,5737.0,1792.0,200702.0,Python,5556.0,2011-03-09,2026-05-25,SciPy library main repository,True,True,False,BSD-3-Clause,ok
scikit-optimize/scikit-optimize,AutoML/RL,2826.0,559.0,318.0,9423.0,Python,3718.0,2016-03-20,2026-05-24,Sequential model-based optimization with a  `scipy.optimize` interface,False,True,False,BSD-3-Clause,ok
lucidrains/DALLE-pytorch,Deep Learning,5629.0,642.0,125.0,14143.0,Python,1966.0,2021-01-05,2026-05-22,"Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in Pytorch",True,True,False,MIT,ok
google-deepmind/open_spiel,AutoML/RL,5237.0,1136.0,30.0,36546.0,C++,2499.0,2019-07-22,2026-05-24,OpenSpiel is a collection of environments and algorithms for research in general reinforcement learning and search/planning in games.,True,True,False,Apache-2.0,ok
huggingface/text-generation-inference,Deep Learning,10856.0,1270.0,324.0,14170.0,Python,1325.0,2022-10-08,2026-05-25,Large Language Model Text Generation Inference,False,True,False,Apache-2.0,ok
openai/human-eval,NLP,3239.0,442.0,42.0,48.0,Python,1784.0,2021-07-06,2026-05-25,"Code for the paper ""Evaluating Large Language Models Trained on Code""",True,True,False,MIT,ok
scikit-learn/scikit-learn,MLOps,66187.0,27048.0,2029.0,182644.0,Python,5760.0,2010-08-17,2026-05-25,scikit-learn: machine learning in Python,True,True,False,BSD-3-Clause,ok
lucidrains/perceiver-pytorch,Deep Learning,1203.0,138.0,30.0,111.0,Python,1907.0,2021-03-05,2026-05-19,"Implementation of Perceiver, General Perception with Iterative Attention, in Pytorch",True,True,False,MIT,ok
PyCQA/isort,Non-ML Control,6943.0,642.0,109.0,26000.0,Python,4648.0,2013-09-02,2026-05-25,A Python utility / library to sort imports.,True,True,False,MIT,ok
facebookresearch/nle,AutoML/RL,982.0,129.0,23.0,108388.0,C,2271.0,2020-03-06,2026-05-20,The NetHack Learning Environment,False,True,False,NOASSERTION,ok
