repo_name,category,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
google/python-fire,Non-ML Control,2.18,73.4,2548.0,760.0,13.0,11514.0
crewAIInc/crewAI,NLP,3.55,69.04,892.0,11364.0,481.0,250749.0
dbt-labs/dbt-core,MLOps,2.69,66.16,513.0,10194.0,242.0,152797.0
orchest/orchest,MLOps,2.71,83.63,286.0,1738.0,48.0,47059.0
mkdocs/mkdocs,Non-ML Control,1.92,66.96,57.0,1403.0,17.0,19331.0
giampaolo/psutil,Non-ML Control,3.63,58.0,24.0,1925.0,85.0,32928.0
tensortrade-org/tensortrade,AutoML/RL,2.52,77.35,1056.0,1170.0,24.0,23391.0
pdoc3/pdoc,Non-ML Control,1.9,77.65,5.0,633.0,10.0,9419.0
stanford-oval/storm,NLP,2.96,67.3,314.0,633.0,12.0,14390.0
dask/dask,MLOps,3.25,52.13,1039.0,9191.0,437.0,183058.0
DLR-RM/rl-baselines3-zoo,AutoML/RL,4.35,71.0,51.0,163.0,11.0,6530.0
pyenv/pyenv,Non-ML Control,3.2,39.8,144.0,88.0,4.0,1221.0
sematic-ai/sematic,MLOps,2.82,78.87,63.0,2552.0,58.0,57908.0
fabric/fabric,Non-ML Control,2.75,72.84,18.0,312.0,7.0,8658.0
modin-project/modin,MLOps,2.77,73.53,411.0,6058.0,233.0,147039.0
anthropics/anthropic-sdk-python,NLP,2.61,91.18,1515.0,5045.0,94.0,103542.0
fiddler-labs/fiddler-auditor,MLOps,2.08,80.57,47.0,156.0,1.0,2623.0
pyinvoke/invoke,Non-ML Control,2.86,76.94,969.0,1240.0,39.0,25890.0
vaexio/vaex,MLOps,3.28,59.97,13953.0,5825.0,261.0,93163.0
PaddlePaddle/PaddleSlim,MLOps,3.27,63.39,12361.0,8601.0,361.0,181572.0
leggedrobotics/legged_gym,AutoML/RL,2.65,73.35,637.0,127.0,5.0,2992.0
pydantic/pydantic-settings,Non-ML Control,3.65,57.36,31.0,687.0,45.0,16255.0
ansible/ansible,Non-ML Control,3.58,77.8,5725.0,12618.0,730.0,116222.0
cohere-ai/cohere-python,NLP,3.57,91.36,1405.0,1156.0,98.0,46287.0
rapidsai/cuml,MLOps,3.34,69.73,294.0,3866.0,179.0,110049.0
zenml-io/zenml-projects,MLOps,4.31,84.53,1200.0,1395.0,128.0,77544.0
pytest-dev/pluggy,Non-ML Control,2.93,64.59,0.0,273.0,7.0,5266.0
python-attrs/attrs,Non-ML Control,2.78,70.15,12.0,1100.0,22.0,20190.0
AgentOps-AI/agentops,NLP,3.96,73.48,896.0,3499.0,206.0,89058.0
google-deepmind/launchpad,AutoML/RL,2.19,84.54,1851.0,462.0,9.0,8310.0
rapidsai/cudf,MLOps,,,,,,
qdrant/qdrant,MLOps,4.25,62.79,2658.0,1301.0,104.0,46177.0
robusta-dev/robusta,MLOps,2.84,75.51,1402.0,2913.0,84.0,45462.0
robotframework/robotframework,Non-ML Control,1.9,71.44,670.0,11370.0,41.0,111514.0
microsoft/hummingbird,MLOps,2.44,70.31,648.0,1472.0,40.0,24093.0
facebookresearch/rlstructures,AutoML/RL,2.34,74.43,1042.0,910.0,14.0,15336.0
encode/httpx,Non-ML Control,3.07,55.7,97.0,1145.0,23.0,17753.0
chroma-core/chroma,NLP,3.45,64.33,538.0,3250.0,200.0,68776.0
feast-dev/feast-spark,MLOps,2.19,72.42,25.0,521.0,6.0,10534.0
pytorch/serve,MLOps,2.77,75.68,699.0,2131.0,48.0,45808.0
behave/behave,Non-ML Control,2.78,72.94,979.0,3271.0,54.0,49438.0
sherpa-ai/sherpa,MLOps,3.26,73.48,419.0,264.0,7.0,6103.0
Farama-Foundation/D4RL,AutoML/RL,2.55,64.29,2257.0,938.0,25.0,17156.0
pypa/setuptools,Non-ML Control,3.27,68.01,304.0,4157.0,139.0,81311.0
tensorflow/model-analysis,MLOps,2.62,68.22,144.0,2300.0,69.0,75056.0
rq/rq-scheduler,Non-ML Control,1.52,73.66,53.0,168.0,0.0,2017.0
milvus-io/pymilvus,NLP,2.48,56.51,3971.0,6689.0,96.0,107022.0
qdrant/qdrant-client,NLP,3.01,,,2958.0,123.0,
tensorflow/data-validation,MLOps,2.34,66.5,27.0,1534.0,31.0,57368.0
wandb/sweeps,AutoML/RL,3.77,66.85,9.0,223.0,9.0,7359.0
python-poetry/poetry,Non-ML Control,3.45,69.99,51.0,3437.0,150.0,77565.0
celery/kombu,Non-ML Control,2.4,58.47,0.0,3985.0,42.0,49617.0
jax-ml/jax,Deep Learning,2.69,,,23900.0,807.0,
marqo-ai/marqo,NLP,2.41,75.59,7025.0,6918.0,115.0,153860.0
tensorflow/transform,MLOps,2.48,68.43,715.0,1651.0,32.0,56332.0
Farama-Foundation/Gymnasium,AutoML/RL,3.78,63.15,1366.0,1991.0,146.0,53161.0
PaddlePaddle/PaddleNLP,Deep Learning,3.75,,,26505.0,1685.0,
astral-sh/uv,Non-ML Control,3.47,82.67,48.0,320.0,19.0,9381.0
neuml/txtai,NLP,2.74,82.13,724.0,2447.0,49.0,46150.0
Trusted-AI/AIF360,MLOps,3.12,71.85,2333.0,1037.0,39.0,27203.0
Farama-Foundation/PettingZoo,AutoML/RL,3.33,74.98,400.0,1010.0,53.0,25428.0
openai/spinningup,AutoML/RL,2.68,71.39,1186.0,356.0,17.0,9061.0
conda/conda,Non-ML Control,3.72,65.5,138.0,5430.0,303.0,122578.0
weaviate/weaviate,NLP,5.26,59.54,51.0,448.0,31.0,15909.0
microsoft/responsible-ai-toolbox,MLOps,3.21,78.23,0.0,1766.0,79.0,40877.0
NVIDIA/Megatron-LM,Deep Learning,4.35,61.26,4230.0,11618.0,892.0,338289.0
Farama-Foundation/Minigrid,AutoML/RL,3.43,66.16,103.0,673.0,32.0,17691.0
mamba-org/mamba,Non-ML Control,5.72,51.35,54.0,700.0,96.0,16882.0
CompVis/taming-transformers,Deep Learning,2.96,54.92,571.0,536.0,17.0,8072.0
deepset-ai/FARM,NLP,4.06,68.44,2061.0,845.0,52.0,26194.0
astooke/rlpyt,AutoML/RL,2.83,79.44,1311.0,1592.0,45.0,39577.0
lucidrains/flamingo-pytorch,Deep Learning,2.33,76.46,174.0,40.0,2.0,570.0
EleutherAI/gpt-neox,Deep Learning,3.82,67.37,671.0,1011.0,63.0,29946.0
ray-project/tune-sklearn,AutoML/RL,2.89,77.8,0.0,250.0,11.0,5999.0
EleutherAI/gpt-neo,Deep Learning,3.9,60.3,247.0,109.0,6.0,3441.0
allenai/scispacy,NLP,3.88,68.22,170.0,202.0,12.0,5254.0
hyperopt/hyperopt,AutoML/RL,3.34,62.14,124.0,888.0,52.0,16135.0
ikostrikov/pytorch-a2c-ppo-acktr-gail,AutoML/RL,2.68,62.83,52.0,119.0,1.0,2048.0
lucidrains/PaLM-pytorch,Deep Learning,1.62,67.62,123.0,88.0,0.0,1187.0
tox-dev/tox,Non-ML Control,2.97,63.14,53.0,2387.0,77.0,36123.0
PyCQA/flake8,Non-ML Control,2.62,71.14,0.0,566.0,6.0,9936.0
vllm-project/vllm,Deep Learning,3.43,,,38894.0,1820.0,
huggingface/evaluate,NLP,2.79,82.15,336.0,899.0,30.0,22390.0
scipy/scipy,MLOps,2.53,57.91,,25243.0,746.0,
scikit-optimize/scikit-optimize,AutoML/RL,3.39,63.93,333.0,582.0,34.0,17741.0
lucidrains/DALLE-pytorch,Deep Learning,2.64,64.23,1359.0,226.0,4.0,3929.0
google-deepmind/open_spiel,AutoML/RL,2.92,73.12,24022.0,4958.0,145.0,118530.0
huggingface/text-generation-inference,Deep Learning,3.51,56.26,729.0,4239.0,190.0,108900.0
openai/human-eval,NLP,2.48,83.39,2.0,21.0,0.0,448.0
scikit-learn/scikit-learn,MLOps,3.24,62.96,1499.0,11728.0,526.0,442050.0
lucidrains/perceiver-pytorch,Deep Learning,2.47,66.2,572.0,58.0,0.0,930.0
PyCQA/isort,Non-ML Control,4.11,76.08,32.0,814.0,43.0,28263.0
facebookresearch/nle,AutoML/RL,4.14,59.58,33.0,339.0,24.0,8367.0
lm-sys/FastChat,Deep Learning,3.29,58.66,773.0,1301.0,68.0,35040.0
allenai/dolma,NLP,3.35,65.16,361.0,1317.0,56.0,25308.0
statsmodels/statsmodels,MLOps,2.57,,,14275.0,431.0,
keras-team/autokeras,AutoML/RL,2.31,83.15,110.0,769.0,8.0,13932.0
lucidrains/bidirectional-cross-attention,Deep Learning,3.33,85.69,100.0,9.0,0.0,227.0
psf/black,Non-ML Control,2.52,,,2747.0,96.0,
pymc-devs/pymc,MLOps,2.96,59.77,839.0,4910.0,160.0,103879.0
togethercomputer/RedPajama-Data,NLP,2.52,79.02,61.0,291.0,2.0,6142.0
dmlc/xgboost,AutoML/RL,3.0,63.84,232.0,2131.0,74.0,53032.0
astral-sh/ruff,Non-ML Control,1.56,92.77,0.0,9126.0,49.0,8895.0
openai/guided-diffusion,Deep Learning,2.77,58.73,35.0,318.0,7.0,5654.0
