repo_name,category,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
facebookresearch/metaseq,Deep Learning,3.04,67.13,123.0,2097.0,86.0,40428.0
pytorch/ao,Computer Vision,3.26,66.44,1339.0,6646.0,311.0,215560.0
baichuan-inc/Baichuan2,Deep Learning,2.47,53.99,15.0,19.0,1.0,371.0
Stability-AI/StableLM,NLP,,,0.0,,,
EleutherAI/lm-evaluation-harness,Deep Learning,2.97,70.87,1370.0,4589.0,115.0,100892.0
EleutherAI/pythia,NLP,1.95,65.0,246.0,111.0,2.0,2133.0
google-deepmind/tapnet,Computer Vision,3.55,,,413.0,26.0,
01-ai/Yi,Deep Learning,3.3,61.32,71.0,204.0,10.0,5142.0
facebookresearch/co-tracker,Computer Vision,5.81,64.69,350.0,198.0,24.0,8485.0
deepseek-ai/DeepSeek-LLM,Deep Learning,,,0.0,,,
isl-org/MiDaS,Computer Vision,3.25,65.05,266.0,155.0,7.0,4049.0
mosaicml/llm-foundry,NLP,4.42,68.34,907.0,1642.0,149.0,61928.0
openlm-research/open_llama,NLP,,,0.0,,,
google-deepmind/gemma,Deep Learning,2.52,78.03,6136.0,933.0,13.0,26208.0
google/gemma_pytorch,Deep Learning,2.72,68.83,311.0,178.0,4.0,4307.0
google-research/language,NLP,3.29,71.22,44695.0,6214.0,310.0,194618.0
OptimalScale/LMFlow,NLP,5.51,68.81,427.0,877.0,109.0,34994.0
lllyasviel/ControlNet,Computer Vision,3.48,74.89,953.0,2755.0,128.0,60247.0
allenai/OLMo,Deep Learning,2.44,,,4518.0,126.0,
google/sentencepiece,NLP,2.25,64.28,687.0,206.0,4.0,2638.0
XPixelGroup/HAT,Computer Vision,3.62,73.87,38.0,92.0,5.0,2298.0
OpenGVLab/InternVL,NLP,4.27,67.11,1742.0,2761.0,217.0,76360.0
microsoft/nlp-recipes,NLP,3.91,71.28,386.0,911.0,60.0,27687.0
microsoft/torchscale,Deep Learning,3.18,66.53,370.0,522.0,23.0,10013.0
lucidrains/denoising-diffusion-pytorch,Deep Learning,2.43,45.09,3728.0,668.0,14.0,9294.0
jantic/DeOldify,Computer Vision,2.55,55.44,15477.0,2017.0,27.0,15770.0
THUDM/GLM,NLP,3.7,53.03,489.0,1258.0,76.0,21936.0
google-research/electra,NLP,3.46,63.08,1946.0,362.0,19.0,6927.0
cloneofsimo/lora,Computer Vision,5.22,50.56,84.0,147.0,17.0,7256.0
tatsu-lab/alpaca_eval,Deep Learning,3.91,65.39,104.0,299.0,16.0,8821.0
PaddlePaddle/ERNIE,NLP,5.3,63.55,280.0,2660.0,341.0,97958.0
ymcui/Chinese-LLaMA-Alpaca,NLP,4.9,49.64,594.0,96.0,12.0,3806.0
kohya-ss/sd-scripts,Computer Vision,5.15,45.27,4357.0,3058.0,295.0,103272.0
google-research/pegasus,NLP,2.94,78.31,3954.0,646.0,18.0,20264.0
bmaltais/kohya_ss,Computer Vision,6.63,60.87,1467.0,387.0,45.0,25525.0
google-research/albert,NLP,4.21,50.76,2704.0,292.0,23.0,9633.0
apple/ml-stable-diffusion,Deep Learning,4.95,59.17,344.0,183.0,19.0,6766.0
FreedomIntelligence/HuatuoGPT,NLP,5.47,49.04,86.0,17.0,2.0,553.0
TencentARC/GFPGAN,Deep Learning,5.04,64.7,0.0,186.0,21.0,5230.0
dmlc/gluon-nlp,NLP,4.01,57.72,1785.0,1536.0,92.0,50368.0
facebookresearch/bart_ls,NLP,2.93,67.45,1794.0,6105.0,230.0,126987.0
facebookresearch/Mask2Former,Computer Vision,4.04,72.09,771.0,453.0,28.0,14941.0
clips/pattern,NLP,3.18,66.96,9656.0,3000.0,171.0,44025.0
allenai/longformer,NLP,3.14,67.97,222.0,330.0,14.0,6552.0
JaidedAI/EasyOCR,Computer Vision,3.62,59.87,2900.0,650.0,27.0,14363.0
allenai/macaw,NLP,4.62,47.74,264.0,63.0,6.0,1304.0
SillyTavern/SillyTavern,NLP,,,0.0,,,
