repo_name,category,month,commit_count
Lightning-AI/pytorch-lightning,Deep Learning,2025-05,44
Lightning-AI/pytorch-lightning,Deep Learning,2025-06,47
Lightning-AI/pytorch-lightning,Deep Learning,2025-07,23
Lightning-AI/pytorch-lightning,Deep Learning,2025-08,85
Lightning-AI/pytorch-lightning,Deep Learning,2025-09,86
Lightning-AI/pytorch-lightning,Deep Learning,2025-10,37
Lightning-AI/pytorch-lightning,Deep Learning,2025-11,47
Lightning-AI/pytorch-lightning,Deep Learning,2025-12,29
Lightning-AI/pytorch-lightning,Deep Learning,2026-01,34
Lightning-AI/pytorch-lightning,Deep Learning,2026-02,3
Lightning-AI/pytorch-lightning,Deep Learning,2026-03,42
Lightning-AI/pytorch-lightning,Deep Learning,2026-04,17
Lightning-AI/pytorch-lightning,Deep Learning,2026-05,1
huggingface/datasets,NLP,2024-04,18
huggingface/datasets,NLP,2024-05,29
huggingface/datasets,NLP,2024-06,41
huggingface/datasets,NLP,2024-07,28
huggingface/datasets,NLP,2024-08,23
huggingface/datasets,NLP,2024-09,15
huggingface/datasets,NLP,2024-10,32
huggingface/datasets,NLP,2024-11,5
huggingface/datasets,NLP,2024-12,12
huggingface/datasets,NLP,2025-01,9
huggingface/datasets,NLP,2025-02,16
huggingface/datasets,NLP,2025-03,23
huggingface/datasets,NLP,2025-04,9
huggingface/datasets,NLP,2025-05,19
huggingface/datasets,NLP,2025-06,29
huggingface/datasets,NLP,2025-07,22
huggingface/datasets,NLP,2025-08,6
huggingface/datasets,NLP,2025-09,18
huggingface/datasets,NLP,2025-10,29
huggingface/datasets,NLP,2025-11,14
huggingface/datasets,NLP,2025-12,10
huggingface/datasets,NLP,2026-01,19
huggingface/datasets,NLP,2026-02,17
huggingface/datasets,NLP,2026-03,33
huggingface/datasets,NLP,2026-04,20
huggingface/datasets,NLP,2026-05,4
explosion/spaCy,NLP,2023-01,7
explosion/spaCy,NLP,2023-02,15
explosion/spaCy,NLP,2023-03,40
explosion/spaCy,NLP,2023-04,20
explosion/spaCy,NLP,2023-05,29
explosion/spaCy,NLP,2023-06,23
explosion/spaCy,NLP,2023-07,38
explosion/spaCy,NLP,2023-08,25
explosion/spaCy,NLP,2023-09,30
explosion/spaCy,NLP,2023-10,27
explosion/spaCy,NLP,2023-11,14
explosion/spaCy,NLP,2023-12,13
explosion/spaCy,NLP,2024-01,18
explosion/spaCy,NLP,2024-02,7
explosion/spaCy,NLP,2024-03,4
explosion/spaCy,NLP,2024-04,8
explosion/spaCy,NLP,2024-05,3
explosion/spaCy,NLP,2024-06,2
explosion/spaCy,NLP,2024-08,2
explosion/spaCy,NLP,2024-09,46
explosion/spaCy,NLP,2024-10,30
explosion/spaCy,NLP,2024-11,1
explosion/spaCy,NLP,2024-12,5
explosion/spaCy,NLP,2025-01,2
explosion/spaCy,NLP,2025-02,5
explosion/spaCy,NLP,2025-04,3
explosion/spaCy,NLP,2025-05,18
explosion/spaCy,NLP,2025-10,4
explosion/spaCy,NLP,2025-11,26
explosion/spaCy,NLP,2026-03,35
facebookresearch/fairseq,NLP,2021-03,19
facebookresearch/fairseq,NLP,2021-04,28
facebookresearch/fairseq,NLP,2021-05,32
facebookresearch/fairseq,NLP,2021-06,30
facebookresearch/fairseq,NLP,2021-07,46
facebookresearch/fairseq,NLP,2021-08,14
facebookresearch/fairseq,NLP,2021-09,20
facebookresearch/fairseq,NLP,2021-10,19
facebookresearch/fairseq,NLP,2021-11,23
facebookresearch/fairseq,NLP,2021-12,27
facebookresearch/fairseq,NLP,2022-01,21
facebookresearch/fairseq,NLP,2022-02,21
facebookresearch/fairseq,NLP,2022-03,18
facebookresearch/fairseq,NLP,2022-04,16
facebookresearch/fairseq,NLP,2022-05,13
facebookresearch/fairseq,NLP,2022-06,32
facebookresearch/fairseq,NLP,2022-07,11
facebookresearch/fairseq,NLP,2022-08,5
facebookresearch/fairseq,NLP,2022-09,15
facebookresearch/fairseq,NLP,2022-10,25
facebookresearch/fairseq,NLP,2022-11,3
facebookresearch/fairseq,NLP,2022-12,10
facebookresearch/fairseq,NLP,2023-01,2
facebookresearch/fairseq,NLP,2023-02,4
facebookresearch/fairseq,NLP,2023-03,1
facebookresearch/fairseq,NLP,2023-04,1
facebookresearch/fairseq,NLP,2023-05,20
facebookresearch/fairseq,NLP,2023-06,5
